#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGESE;RUSSIAN;FINNISH;x
##################################################;;;;;;;;;;;;;;x
# Organisations and actions ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
CANCEL_WEAPON_EMBARGO_ACTION_UN_DESC;UN cancels the arms embargo on target.;;;;;;;;;;;;;x;;
SANCTIONS_ACTION_UN;Sanctions;;;;;;;;;;;;;x;;
SANCTIONS_ACTION_UN_DESC;The United Nations Security Council can implement sanctions against leaders or governments.;;;;;;;;;;;;;x;;
CANCEL_SANCTIONS_ACTION_UN;Cancel Sanctions;;;;;;;;;;;;;x;;
CANCEL_SANCTIONS_ACTION_UN_DESC;Clears the sanctions.;;;;;;;;;;;;;x;;
EMBARGO_ACTION_NATO;Embargo;;;;;;;;;;;;;x;;
EMBARGO_ACTION_NATO_DESC;Issue a NATO wide embargo.;;;;;;;;;;;;;x;;
EMBARGO_ACTION_WP;Embargo;;;;;;;;;;;;;x;;
EMBARGO_ACTION_WP_DESC;Issue a Warsaw Pact wide embargo.;;;;;;;;;;;;;x;;
EMBARGO_ACTION_COMMUNITY;Embargo;;;;;;;;;;;;;x;;
EMBARGO_ACTION_COMMUNITY_DESC;Issue a Community wide embargo.;;;;;;;;;;;;;x;;
INTERVENTION_ACTION_UN;Intervention;;;;;;;;;;;;;x;;
INTERVENTION_ACTION_UN_DESC;UN members declare defensive war on target.;;;;;;;;;;;;;x;;
CANCEL_INTERVENTION_ACTION_UN;Cancel Intervention;;;;;;;;;;;;;x;;
CANCEL_INTERVENTION_ACTION_UN_DESC;UN members cancel the defensive war to protect the target.;;;;;;;;;;;;;x;;
INVITE_ACTION_WP;Invite to faction;;;;;;;;;;;;;x;;
INVITE_ACTION_WP_DESC;Invite the selected nation to join the Warsaw Pact.;;;;;;;;;;;;;x;;
INVITE_ACTION_NATO;Invite to faction;;;;;;;;;;;;;x;;
INVITE_ACTION_NATO_DESC;Invite the selected nation to join Nato.;;;;;;;;;;;;;x;;
INFLUENCE_ACTION_NATO;Influence Nation;;;;;;;;;;;;;x;;
INFLUENCE_ACTION_NATO_DESC;By actively influencing the target nation to our faction we use the skill of diplomacy to drift their diplomatic standings closer to us. The more aligned a state is towards our faction the better the possibility of them joining.;;;;;;;;;;;;;x;;
STOP_INFLUENCE_ACTION_NATO;Stop Influence;;;;;;;;;;;;;x;;
STOP_INFLUENCE_ACTION_NATO_DESC;XXXXXXXXXXXXX;;;;;;;;;;;;;x;;
INFLUENCE_ACTION_WP;Influence Nation;;;;;;;;;;;;;x;;
INFLUENCE_ACTION_WP_DESC;By actively influencing the target nation to our faction we use the skill of diplomacy to drift their diplomatic standings closer to us. The more aligned a state is towards our faction the better the possibility of them joining.;;;;;;;;;;;;;x;;
STOP_INFLUENCE_ACTION_WP;Stop Influence;;;;;;;;;;;;;x;;
STOP_INFLUENCE_ACTION_WP_DESC;XXXXXXXXXXXXXX;;;;;;;;;;;;;x;;
##################################################;;;;;;;;;;;;;;x
# Events related to organisations ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
EVTNAME1001;UN Nuclear Embargo;;;;;;;;;;;;;x
EVTDESC1001;We are informed about that UN inspectors revealed that we started to use centrifuges for fission material used in nuclear weapons. UN will call a voting about a nuclear embargo against us.;;;;;;;;;;;;;x
EVTOPTA1001;OK;;;;;;;;;;;;;x
